raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
STE NEW SHOES,Sfax,Sfax ouest,Industries du cuir et de la chaussure,MAKRAM WALI,(216-)  74 243 543/ 74 451 280,new.shoes@tunet.tn,15,NON TOTALEMENT EXPORTATRICE
STE SAMET FRERES,Sfax,Sfax ville,Industries du cuir et de la chaussure,MAHMOUD SAMET,(216-)  74 239 007/ 74 239 008,sosaf.tn@gmail.com,48,NON TOTALEMENT EXPORTATRICE
STE KACEM ELECTRONIC INDUSTRIE,Sfax,Kerkennah,Fabrication d'equipements électriques et électroniques,MOHAMED KACEM,(216-)  74 488 035/ 74 488 036,kacem.mohamed@planet.tn,30,NON TOTALEMENT EXPORTATRICE
INDUSTRIE CONFECTION DE SFAX,Sfax,Sakiet ezzit,Industries textiles et habillement,ABDERRAZEK REKIK,(216-)  74 251 236/ 74 251 758,icos@hexabyte.tn,40,TOTALEMENT EXPORTATRICE
DIADEME,Sfax,Sfax ville,Industries textiles et habillement,DALEL SELLAMI,(216-)  74 615 090/ 74 615 093,sellami.dalel@planet.tn,18,NON TOTALEMENT EXPORTATRICE
SAKIET EDDAIER METALLIQUE,Sfax,Sakiet eddaier,Métallurgie et travail des métaux,HASSEN DRISS,(216-)  74 831 931/ 74 830 819,mohamed.taha.ben.mabrouk@gmail.com,34,NON TOTALEMENT EXPORTATRICE
STE IND DE MENUISERIE DE BATIMENT,Sfax,Sakiet ezzit,Travail du bois et fabrication d'articles en bois,MOURAD GADDOUR,(216-)  74 861 025,,10,NON TOTALEMENT EXPORTATRICE
STE WISAM,Sfax,Sakiet ezzit,Industries textiles et habillement,MONGI FEKI,,,40,NON TOTALEMENT EXPORTATRICE
ETS KOUBAA RAOUF,Sfax,Sfax sud,Industries textiles et habillement,ISSAM KOUBAA,(216-)  74 650 629/ 74 211 905,option_bs@yahoo.fr,12,NON TOTALEMENT EXPORTATRICE
STE MORSI,Sfax,Sfax ville,Industries du cuir et de la chaussure,MONCEF CHOURA,(216-)  74 238 268/ 74 238 267,morsisemelle@hexabyte.tn,19,NON TOTALEMENT EXPORTATRICE
RANIM JEUX,Sfax,El hencha,Autres industries manufacturières,HAYET GRATI,(216-)  98 812 549/ 74 284 099,ranim@planet.tn,10,NON TOTALEMENT EXPORTATRICE
STE DE CONSTRUCTION DES ARTS METALLIQUES,Sfax,Sfax ville,Métallurgie et travail des métaux,RIDHA CHARFI,(216-)  74 497 910/ 74 497 810,scam@topnet.tn,35,NON TOTALEMENT EXPORTATRICE
STE SAMIRA CHAKROUN,Sfax,Sakiet ezzit,Industries textiles et habillement,SAMIRA CHAKROUN,(216-)  74 234 766/ 74 441 769,chakroun.samira@planet.tn,60,TOTALEMENT EXPORTATRICE
JOLIE MAILLE,Sfax,Sfax ville,Industries textiles et habillement,ABDERRAHMEN ZOUARI,(216-)  74 617 341/ 74 261 520,jolie.maille@tunet.tn,70,NON TOTALEMENT EXPORTATRICE
STE GARGOURI EMBALLAGES,Sfax,Sakiet ezzit,Métallurgie et travail des métaux,MOHAMED GARGOURI,(216-)  74 846 750,commercial@gargouri-emballages.com,118,NON TOTALEMENT EXPORTATRICE
STE NLLE DE COUPE INDUSTRIELLE DE SFAX,Sfax,Thyna,Fabrication de machines et équipements,RIDHA CHARFI,(216-)  74 289 703,mohamedchelbi.sn-ci@gnet.tn,176,NON TOTALEMENT EXPORTATRICE
STE SOFRIP DE RECYCLAGE DE TEXTILE,Sfax,Sakiet ezzit,Autres industries manufacturières,HAMDI KANNOU,(216-)  74 273 405/ 74 273 406,sofrip@sofrip.com,90,NON TOTALEMENT EXPORTATRICE
LABORATOIRES NIHEL,Sfax,Sfax sud,Industrie chimique,RAFIK AOUAY,(216-)  74 279 004,nihel@gnet.tn,145,NON TOTALEMENT EXPORTATRICE
HSOUNA JEBENIANI ABDELAZIZ BEN ALI,Sfax,Jebeniana,Industries agricoles et alimentaires,HSOUNA JEBENIANI ABDELAZIZ,(216-)  98 251 113,,10,NON TOTALEMENT EXPORTATRICE
SAVOIR ET FAIRE K.L.D,Tunis,La marsa,Industries textiles et habillement,NELVA LEO,(216-)  71 778 785,contact@savoiretfaire.com,32,TOTALEMENT EXPORTATRICE
STE CHAUSSURE LA MEDINA,Sfax,Sakiet eddaier,Industries du cuir et de la chaussure,MOHAMED DHOUIB,(216-)  24 319 000/ 74 238 869,la_medina@live.fr,50,NON TOTALEMENT EXPORTATRICE
STE BELLE ROSE,Sfax,Sfax sud,Industrie chimique,HEDI SAHNOUN,(216-)  74 658 410/ 74 658 424,belle.rose@gnet.tn,18,NON TOTALEMENT EXPORTATRICE
ZGHAL JAMEL,Sfax,Sfax sud,Métallurgie et travail des métaux,JAMEL ZGHAL,(216-)  74 228 074,jamelzghal@yahoo.fr,20,NON TOTALEMENT EXPORTATRICE
STE DE FABRICATION DE BETON DU SUD (THYNA),Sfax,Thyna,Fabrication d'autres produits non métalliques,SEBASTIAO SANTOS,(216-)  71 842 433/ 74 289 881,mohamed.jemal@sud.com.tn,50,NON TOTALEMENT EXPORTATRICE
TUNISIE TAPE,Sfax,Sakiet eddaier,Industrie du caoutchouc et des plastiques,MOHAMED EL ANOUAR OUALHA,(216-)  58 374 013/ 74 287 222,appro@tunisietape.com,45,NON TOTALEMENT EXPORTATRICE
STE ECRIN PLAST,Sfax,Sfax ville,Industrie du caoutchouc et des plastiques,AHMED FENDRI,(216-)  74 287 316/ 74 287 951,ecrinplast@topnet.tn,100,NON TOTALEMENT EXPORTATRICE
CONSTRUCTION ET EMBOUTISSAGE METALLIQUES,Sfax,Sfax sud,Fabrication de matériel de transport,MONCEF HADJ KACEM,(216-)  74 408 211/ 74 846 307,cem@cem.com.tn,39,NON TOTALEMENT EXPORTATRICE
STE DE SACHERIE,Sfax,Sfax ouest,Industrie du caoutchouc et des plastiques,IMED ZOUARI,(216-)  74 467 232,,10,NON TOTALEMENT EXPORTATRICE
STE KAMOUN DE POICHICHE,Sfax,Sfax sud,Industries agricoles et alimentaires,MOUNIR KAMOUN,(216-)  74 680 834/ 74 279 647,c-h@shehrazad.com.tn,76,NON TOTALEMENT EXPORTATRICE
STE GISTAN,Bizerte,Utique,Industries du cuir et de la chaussure,NEJIB SAIJI,(216-)  72 494 062/ 98 708 530,gistan.tn@gmail.com,25,TOTALEMENT EXPORTATRICE
CITY MEUBLE,Sfax,Sakiet ezzit,Autres industries manufacturières,MOHAMED ABID,(216-)  74 861 122,city.meuble@gnet.tn,50,NON TOTALEMENT EXPORTATRICE
STE PIQUAGE BRODERIE CONFECTION,Sfax,Sfax ouest,Industries textiles et habillement,MONDHER ABDELHEDI,(216-)  24 514 472/ 74 670 590,,12,NON TOTALEMENT EXPORTATRICE
STE MANUF DE DECOLLETAGE DE PRECISION,Sfax,Sfax ville,Métallurgie et travail des métaux,ABDERRAHMEN MEZGHANI,(216-)  74 467 019,smdp@tunet.tn,52,NON TOTALEMENT EXPORTATRICE
IMPRIMERIE LOUATI MEHREZ,Sfax,Sfax ouest,"Industrie du papier et du carton, édition et imprimerie",MEHREZ LOUATI,(216-)  74 240 975/ 74 450 093,imp.louati@gmail.com,15,NON TOTALEMENT EXPORTATRICE
STE CHAUSSURES TIMAC,Sfax,Sfax ville,Industries du cuir et de la chaussure,LASAAD MSEDDI,(216-)  74 235 824,ch.timac@hexabyte.tn,30,NON TOTALEMENT EXPORTATRICE
ETS BEN AYED LE PARIS MODE,Sfax,Sakiet ezzit,Industries textiles et habillement,TAOUFIK BEN AYED,(216-)  74 220 105/ 74 220 621,malekbenayed@gmail.com,35,NON TOTALEMENT EXPORTATRICE
OUALHA MOHAMED,Sfax,Sakiet ezzit,Métallurgie et travail des métaux,MOHAMED OUALHA,(216-)  74 860 040,luxiame@gnet.tn,35,NON TOTALEMENT EXPORTATRICE
STE TNNE D'EMBALLAGES FINS,Sfax,Sfax ville,Industrie du caoutchouc et des plastiques,MOHAMED KAMMOUN,,stef@tunet.tn,21,NON TOTALEMENT EXPORTATRICE
STE KRICHEN GALVANOPLASTIE,Sfax,Sfax sud,Métallurgie et travail des métaux,KHALIL KRICHEN,(216-)  74 670 538/ 74 671 418,khalil.krichen@skg.com.tn,80,NON TOTALEMENT EXPORTATRICE
CHAUSSURES EVA,Sfax,Sfax ville,Industries du cuir et de la chaussure,MONCEF TRABELSI,(216-)  21 176 176/ 74 258 215,evanov@tunet.tn,85,NON TOTALEMENT EXPORTATRICE
MAGHREB LIGHT,Sfax,Sakiet ezzit,Fabrication d'equipements électriques et électroniques,RIDHA REKIK,(216-)  74 273 601,maghreblight@tunet.tn,20,NON TOTALEMENT EXPORTATRICE
POLYMOUTH TUNISIE,Tunis,El hararia,Métallurgie et travail des métaux,MOUNIR SAAD,,,25,NON TOTALEMENT EXPORTATRICE
ETS WALHA CHOKRI ET KAMEL,Sfax,Sakiet ezzit,Autres industries manufacturières,KAMEL WALHA,(216-)  74 846 745/ 74 846 746,walha.chokri@walhalecoq.com,20,NON TOTALEMENT EXPORTATRICE
STE HOUSSE DE SECURITE ET DE CONFORT,Sfax,Sfax ouest,Industries textiles et habillement,SAMI AMOURI,(216-)  74 279 245,hoseco@gnet.tn,10,NON TOTALEMENT EXPORTATRICE
ETS NOURI ET CIE (FOUCHANA),Ben arous,Fouchana,Industries agricoles et alimentaires,ABDELMAJID NOURI,(216-)  76 452 273/ 71 398 323,etablissement.nouri@gnet.tn,65,TOTALEMENT EXPORTATRICE
IMPRIMERIE PRINTING PLUS,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",MOHSEN LAMOURI,(216-)  74 438 460,printingplus@hexabyte.tn,12,NON TOTALEMENT EXPORTATRICE
SACOPLAST,Sfax,Sfax sud,Industrie du caoutchouc et des plastiques,MAHER ZOUARI,(216-)  74 275 987,sacoplast@planet.tn,56,NON TOTALEMENT EXPORTATRICE
STE DE CONSTRUCTIONS IND ET NAVALES,Sfax,Sfax ville,Métallurgie et travail des métaux,WASSIM KOUBAA,(216-)  74 225 277,scin@scin.com.tn,160,NON TOTALEMENT EXPORTATRICE
STE TNNE DES INDUSTRIES SYNTHETIQUES,Sfax,Sfax ville,Industrie du caoutchouc et des plastiques,YASSINE CHERIF,(216-)  74 468 135/ 74 468 813,commercial.sfax@stisbic.com,40,NON TOTALEMENT EXPORTATRICE
CONFECTION IDEALE DU SUD,Sfax,Sfax ville,Industries textiles et habillement,MONCEF KHEMAKHEM,(216-)  74 875 225,cis@cisconfection.com,350,TOTALEMENT EXPORTATRICE
STE GLE D'IMPRIMERIE ET DE CARTONNAGE,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",TEJ EDDINE MNIF,(216-)  74 242 634,sogic@hotmail.fr,12,NON TOTALEMENT EXPORTATRICE
STE MECANIQUE GLE DU SUD,Sfax,Sfax ville,Métallurgie et travail des métaux,MAHMOUD KASSIS,(216-)  74 497 448,,10,NON TOTALEMENT EXPORTATRICE
ARFATEX,Sfax,Sfax sud,Industries textiles et habillement,ALI ARFA,(216-)  93 472 554,arfatex.samar@planet.tn,45,TOTALEMENT EXPORTATRICE
STE IND D'EXPLOITATION DES CARRIERES,Sfax,El hencha,Autres industries extractives,SLIM ZAYANI,(216-)  74 842 294,siec@planet.tn,10,NON TOTALEMENT EXPORTATRICE
MANUF DE CONFECTION DU SUD,Sfax,Sfax ville,Industries textiles et habillement,MOHAMED SELLAMI,(216-)  74 286 254,fadoua@confection-mcs.com,340,TOTALEMENT EXPORTATRICE
MANUF TNNE DES SERRURES,Sfax,Sfax sud,Métallurgie et travail des métaux,TAIEB SELLAMI,(216-)  74 278 407/ 74 278 408,mts@tunet.tn,40,NON TOTALEMENT EXPORTATRICE
STE IND DE PLASTIQUE (EL BOUSTENE),Sfax,Sfax ville,Industrie chimique,HSOUNA MEZGANNI,(216-)  74 432 322,soplast@planet.tn,13,NON TOTALEMENT EXPORTATRICE
KLM EXPORT,Sfax,Sfax sud,Industries textiles et habillement,MOHAMED LOUKIL,(216-)  74 275 040,klmlook@hotmail.fr,15,TOTALEMENT EXPORTATRICE
STE MEMATEX,Sfax,Sfax sud,Industries textiles et habillement,HABIB TOUMI,(216-)  74 651 797,habib.mematex@planet.tn,50,TOTALEMENT EXPORTATRICE
LES SOUTIENS GORGES  MANEL,Sfax,Sfax ville,Industries textiles et habillement,ABDESSALEM FOURATI,,,50,NON TOTALEMENT EXPORTATRICE
STE CAFE M'HIRI,Sfax,Sfax ouest,Industries agricoles et alimentaires,HEDI M'HIRI,(216-)  74 225 943/ 74 279 730,,15,NON TOTALEMENT EXPORTATRICE
DRITEX,Sfax,Sakiet ezzit,Industries textiles et habillement,NEILA LINDA,(216-)  74 658 770,neila.linda@planet.tn,35,TOTALEMENT EXPORTATRICE
STE ATELIER MODERNE D ELECTRICITE  ET  MOBILIER MEDICAL,Sfax,Sfax ville,Métallurgie et travail des métaux,AHMED JRIBI,(216-)  74 432 594/ 74 432 935,elham.j@amel.com.tn,51,NON TOTALEMENT EXPORTATRICE
NESRINE LINE,Sfax,Sakiet ezzit,Industries textiles et habillement,SABRIA MEZGHANI,(216-)  74 861 273,nesrine.confection@planet.tn,30,TOTALEMENT EXPORTATRICE
STE DES INDUSTRIES METALLIQUES ET DE FERRONNERIE,Sfax,Sfax ville,Métallurgie et travail des métaux,HAFEDH GHARBI,(216-)  26 468 208,contact@simfer.com.tn,50,NON TOTALEMENT EXPORTATRICE
SUD INTER MOUSSE,Sfax,Sfax ouest,Autres industries manufacturières,MONGI BEN AYED,(216-)  74 279 919,sudintermousse@gnet.tn,106,NON TOTALEMENT EXPORTATRICE
STE D'OUTILLAGES DE PRECISION ET D'EQUIPEMENTS MECANIQUES,Sfax,Sfax sud,Fabrication de machines et équipements,LASSAAD BOUDABBOUS,(216-)  74 278 408/ 74 279 498,dga@sopem.com.tn,58,NON TOTALEMENT EXPORTATRICE
STE LEMIA DE MATELAS A RESSORT,Sfax,Sfax ouest,Autres industries manufacturières,MONGI BEN AYED,(216-)  74 279 919,sudintermousse@gnet.tn,51,NON TOTALEMENT EXPORTATRICE
STE DE CONGELATION DE PRODUITS DE MER CHAARI ET FILS,Sfax,Sfax ville,Industries agricoles et alimentaires,NAJEH CHAARI,(216-)  74 497 929,chaari@gnet.tn,35,TOTALEMENT EXPORTATRICE
LE PAPIER IMPRIME EN CONTINU,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",MOHAMED AMOUS,(216-)  74 687 695,picsfax@gmail.com,10,NON TOTALEMENT EXPORTATRICE
STE IND DE MEDICAMENTS,Sfax,Sakiet ezzit,Industrie chimique,ZOUBIR BEN SAAD,(216-)  74 273 060,lab.simed@simed.com.tn,152,NON TOTALEMENT EXPORTATRICE
MANUF IND DE CHAUSSURES,Sfax,Sfax ouest,Industries du cuir et de la chaussure,KHALED MNEJJA,(216-)  74 279 130,mic.rosace@gmail.com,24,NON TOTALEMENT EXPORTATRICE
STE NOVAPRINT,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",CHAKIB YAICH,(216-)  74 432 022,financier@novaprint .tn,74,NON TOTALEMENT EXPORTATRICE
STE GLE DE MENUISERIE,Sfax,Sakiet ezzit,Travail du bois et fabrication d'articles en bois,RIDHA HACHICHA,(216-)  74 861 420,jardibois@planet.tn,25,NON TOTALEMENT EXPORTATRICE
ETS JARRAYA INDUSTRIES MECANIQUES,Sfax,Thyna,Industrie du caoutchouc et des plastiques,HAFEDH JARRAYA,(216-)  74 454 823,ejim@tunet.tn,33,NON TOTALEMENT EXPORTATRICE
STE TECHNIQUE MODE CONFECTION,Sfax,Sfax ville,Industries textiles et habillement,JAOUIDA DAOUD,(216-)  74 432 602,tmc.ptt@gnet.tn,25,TOTALEMENT EXPORTATRICE
STE EL HANA,Sfax,Sakiet eddaier,Industries textiles et habillement,FETHI REBAI,(216-)  98 416 883/ 74 831 581,fathi.rebai@tunet.tn,31,NON TOTALEMENT EXPORTATRICE
MANUF DE PANNEAUX BOIS DU SUD,Sfax,Sfax ville,Travail du bois et fabrication d'articles en bois,SOFIENE SELLAMI,(216-)  74 468 044,infos@mpbs.com.tn,255,NON TOTALEMENT EXPORTATRICE
OLA-TEX,Sfax,Sfax sud,Industries textiles et habillement,FATHIA SIALA,(216-)  74 671 195,olatex@tunet.tn,30,TOTALEMENT EXPORTATRICE
ETS BOUAZIZ ET CIE,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",ABDELLATIF BOUAZIZ,(216-)  74 287 565,ebccart@topnet.tn,15,NON TOTALEMENT EXPORTATRICE
NOUVELLE IMPRIMERIE DU SUD,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",ABDELLATIF MAAZOUN,(216-)  74 432 910/ 98 413 340,mis@tunet.tn,41,NON TOTALEMENT EXPORTATRICE
ETS OMRANE SALEM ET CIE,Sfax,Sakiet eddaier,Métallurgie et travail des métaux,SALEM OMRANE,(216-)  74 872 331/ 74 872 377,omrane.salem@gnet.tn,29,NON TOTALEMENT EXPORTATRICE
STE PLASTIQUE MODERNE,Sfax,Thyna,Autres industries manufacturières,HAMADI KRICHEN,(216-)  74 454 122/ 74 454 121,spm.krichen@tunet.tn,21,NON TOTALEMENT EXPORTATRICE
ETS CHEDLY FEKI,Sfax,Sfax ville,Industries textiles et habillement,MOHAMED FEKI,(216-)  74 239 003,goodmode@topnet.tn,14,NON TOTALEMENT EXPORTATRICE
BOUAZIZ JAMEL,Sfax,Sfax ouest,Fabrication de matériel de transport,JAMEL BOUAZIZ,(216-)  74 279 343/ 74 672 344,contact@ets-bouazizjamel.com,20,NON TOTALEMENT EXPORTATRICE
STE BEJAOUI METAL,Sfax,Thyna,Métallurgie et travail des métaux,KHALIL BEJAOUI,(216-)  74 454 944,khalil.bejaoui@planet.tn,40,NON TOTALEMENT EXPORTATRICE
STE VERRERIE AGILI,Sfax,Thyna,Fabrication d'autres produits non métalliques,M'HAMED AGILI,(216-)  74 218 301/ 74 275 985,verrerie.agili@tunet.tn,16,NON TOTALEMENT EXPORTATRICE
STE DES SERVICES AGRICOLES AL MOSTAKBAL,Sfax,Agareb,Industries agricoles et alimentaires,MOURAD BEN AMAR,(216-)  74 649 117/ 74 649 068,ssa@planet.tn,35,NON TOTALEMENT EXPORTATRICE
MOHAMED BEN AYADI LASSOUED,Sfax,Jebeniana,Industries agricoles et alimentaires,MOHAMED BEN AYADI LASSOUED,(216-)  97 478 702,,10,NON TOTALEMENT EXPORTATRICE
MENUISERIE ALUMINIUM DU SUD,Sfax,Menzel chaker,Métallurgie et travail des métaux,MOHAMED AMOUS,(216-)  74 453 217,contacteznous@mas-alu.com,250,NON TOTALEMENT EXPORTATRICE
STE FATEN,Sfax,Sfax ville,Industries du cuir et de la chaussure,FATHI SAMET,(216-)  74 214 018/ 74 214 019,societe.faten@gmail.com,30,NON TOTALEMENT EXPORTATRICE
STE IND MEGA,Sfax,Sfax ville,Fabrication d'equipements électriques et électroniques,MOHAMED BEN AYED,(216-)  74 211 100/ 74 288 630,contact@electroservice.com.tn,140,NON TOTALEMENT EXPORTATRICE
STE JOLIESSE,Sfax,Sfax sud,Industries du cuir et de la chaussure,RIDHA MNEJJA,(216-)  74 279 611,joliesse-usine@hotmail.fr,20,NON TOTALEMENT EXPORTATRICE
UNIPACK,Sfax,Agareb,"Industrie du papier et du carton, édition et imprimerie",SAMIR BETTAIEB,(216-)  74 151 000,info@unipack.com.tn,134,NON TOTALEMENT EXPORTATRICE
STE AGRO ZITEX,Sfax,Agareb,Industries agricoles et alimentaires,MOUNIR TRIFA,(216-)  74 643 600,agro@groupe_zitex.com.tn,12,NON TOTALEMENT EXPORTATRICE
STE DE NUTRITION DU SUD,Sfax,Sakiet eddaier,Industries agricoles et alimentaires,HATEM CHAABOUNI,(216-)  74 830 640/ 24 958 758,r.hachicha@medimix.com.tn,97,NON TOTALEMENT EXPORTATRICE
STE GARANTIE IND DE LINGERIE,Sfax,Sakiet ezzit,Industries textiles et habillement,MAHMOUD ZAYANI,(216-)  74 253 201,,12,NON TOTALEMENT EXPORTATRICE
STE SUD VERRE,Sfax,Sfax ouest,Fabrication d'autres produits non métalliques,MOURAD AJILI,(216-)  99 660 612/ 74 660 613,sud.verre@planet.tn,13,NON TOTALEMENT EXPORTATRICE
STE SOUAD (SFAX),Sfax,Sfax ouest,Industries agricoles et alimentaires,RADHIA MEGDICHE,(216-)  74 274 808,gourmandise@planet.tn,185,NON TOTALEMENT EXPORTATRICE
STE TNNE DE FABRICATION DES ARTICLES EN PAPIERS,Sfax,Sfax sud,"Industrie du papier et du carton, édition et imprimerie",NEJIB WALHA,(216-)  74 278 945,stufap@stufap.com,12,NON TOTALEMENT EXPORTATRICE
TOMTEX,Sfax,Sfax ville,Industries textiles et habillement,THOMAS WINNEN,(216-)  74 286 389/ 74 286 664,tomtex@tunet.tn,77,TOTALEMENT EXPORTATRICE
STE DE CONSTRUCTION METALLIQUE ET MECANIQUE,Sfax,Sfax ville,Métallurgie et travail des métaux,MOHAMED CHAMSEDDINE,(216-)  74 497 746,contact@socometal.org,11,NON TOTALEMENT EXPORTATRICE
UNIVERSAL GOMME,Sfax,Sakiet eddaier,Industrie du caoutchouc et des plastiques,ADEL GARGOURI,(216-)  74 830 344/ 74 830 345,universalgomme@laposte.net,35,NON TOTALEMENT EXPORTATRICE
STE TECHNIQUE D'ELECTRICITE,Sfax,Sakiet ezzit,Fabrication d'equipements électriques et électroniques,ADEL TURKI,(216-)  74 848 399,soltec.tu@gnet.tn,10,NON TOTALEMENT EXPORTATRICE
PATISSERIE MASMOUDI,Sfax,Sfax ville,Industries agricoles et alimentaires,RACHOINE MASMOUDI,(216-)  98 410 214/ 74 400 753,info@masmoudi.tn,516,NON TOTALEMENT EXPORTATRICE
STE CREATION BONHEUR,Sfax,Sakiet ezzit,Industries textiles et habillement,KHALED HAMMAMI,(216-)  74 660 600/ 22 410 315,bonheur@tunet.tn,25,NON TOTALEMENT EXPORTATRICE
ALPHA ETIQUETTES,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",MOURAD MEZGHANI,(216-)  74 215 306,info@alphaetiquettes.com,52,NON TOTALEMENT EXPORTATRICE
STE SUPER MOUSSE,Sfax,Sakiet eddaier,Autres industries manufacturières,AHMED NEIFAR,(216-)  26 134 524/ 74 831 714,super.mousse@tunet.tn,180,NON TOTALEMENT EXPORTATRICE
TUNISIE COLLE,Sfax,Sfax sud,Industrie chimique,WASSIM FENDRI,(216-)  74 675 389/ 74 675 388,tunisie.colle@tunet.tn,15,NON TOTALEMENT EXPORTATRICE
SOFRATEX,Sfax,Sakiet eddaier,Industries textiles et habillement,MORCHED WALHA,(216-)  74 872 581/ 98 413 737,sofratex@tunet.tn,20,NON TOTALEMENT EXPORTATRICE
STE ALLYA,Sfax,Jebeniana,Industries agricoles et alimentaires,MOHSEN GHALI,(216-)  74 881 700,,10,NON TOTALEMENT EXPORTATRICE
STE PLASTISS,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,LEILA KHAYAT,(216-)  71 237 186/ 73 350 188,contact@plastiss.com,49,NON TOTALEMENT EXPORTATRICE
STE DE TISSAGE MODERNE BEKIR,Monastir,Ksar hellal,Industries textiles et habillement,KAOUTHER BEKIR MAHMOUD,(216-)  73 450 317/ 73 450 500,stmbekir@topnet.tn,32,NON TOTALEMENT EXPORTATRICE
MAREALB,Monastir,Sahline,Industries agricoles et alimentaires,JEAN LOUIS GLEIZE,(216-)  71 347 666/ 73 525 301,saraari@cotusal.com.tn,96,NON TOTALEMENT EXPORTATRICE
STE TNNE POUR L'INDUSTRIE TEXTILE,Monastir,Ksar hellal,Industries textiles et habillement,HSEN ZARRAD,(216-)  73 455 913/ 73 473 208,stit@topnet.tn,62,NON TOTALEMENT EXPORTATRICE
WAFA SARL,Monastir,Sahline,Industries textiles et habillement,KAREL THOELEN,(216-)  73 525 943,dg@coupe-inter.com,120,TOTALEMENT EXPORTATRICE
COLMAR SA,Monastir,Teboulba,Fabrication de matériel de transport,LOTFI DOGUI,(216-)  73 479 300/ 73 479 179,lotfi.dogui@colmar.tn,134,TOTALEMENT EXPORTATRICE
STE SEGNI DE COMMERCE ET SERVICES,Kairouan,Kairouan sud,Industries agricoles et alimentaires,SAHBI SEGNI,(216-)  77 237 460/ 77 235 325,sahbisegni@yahoo.fr,20,NON TOTALEMENT EXPORTATRICE
STE COSMETICA SARL,Monastir,Ouerdanine,Industrie chimique,SARRA GRISSA,(216-)  73 519 021,,62,NON TOTALEMENT EXPORTATRICE
CERAMIQUE DU CENTRE,Monastir,Jammel,Fabrication d'autres produits non métalliques,SINA LEJMI,(216-)  73 225 318/ 73 591 084,info@cerac.com.tn,130,NON TOTALEMENT EXPORTATRICE
STE BRIQUETERIE EL MOSTAKBEL TEBOULBA,Monastir,Teboulba,Fabrication d'autres produits non métalliques,SLIM BAYOUDH,(216-)  73 479 116/ 73 479 244,bmt@planet.tn,224,NON TOTALEMENT EXPORTATRICE
MENTOR TUNISIE,Monastir,Zeramdine,Fabrication d'equipements électriques et électroniques,JEANS FIEDLER,(216-)  73 498 501,info@mentor.tn,520,TOTALEMENT EXPORTATRICE
STE TISSAGE SOIERIES ET LAINAGES,Monastir,Ksar hellal,Industries textiles et habillement,NIZAR SLIMANE,(216-)  73 475 534/ 73 452 031,slimane.nizar@topnet.tn,16,NON TOTALEMENT EXPORTATRICE
CHANTUNI S.A,Monastir,Beni hassen,Industries textiles et habillement,JEAN FRANCOIS GEORGANIDIS,(216-)  73 490 546,jeanfrançois.georganidis@groupechantelle.com,220,TOTALEMENT EXPORTATRICE
STE DES ARTS TEXTILES,Monastir,Ksar hellal,Industries textiles et habillement,KAMEL ZARRAD,(216-)  73 455 480/ 73 476 126,sartex@planet.tn,2900,TOTALEMENT EXPORTATRICE
STE DE CONFECTION PRINTEMPS,Monastir,Moknine,Industries textiles et habillement,MOURAD GHADHAB,(216-)  73 476 621/ 73 474 701,spring@gnet.tn,120,TOTALEMENT EXPORTATRICE
STE BIOHEALTH,Sfax,Sfax sud,Industrie chimique,BASMA MAKNI,(216-)  74 450 512,biohealth@gmail.com,45,NON TOTALEMENT EXPORTATRICE
STE LES ABRASIFS DU SAHEL,Monastir,Monastir,Fabrication d'autres produits non métalliques,HOUCINE SAYADI,(216-)  73 525 340,abrasifdusahel@yahoo.fr,10,NON TOTALEMENT EXPORTATRICE
STE LE NOURRISSON,Monastir,Teboulba,Industries textiles et habillement,ALI BEN KHLIFA,(216-)  73 479 003,ali.halleb@lenourrisson.com,72,NON TOTALEMENT EXPORTATRICE
LOUATI HABIB,Sfax,Sfax ville,Industries textiles et habillement,HABIB LOUATI,(216-)  74 432 001,louati.habib@planet.tn,21,TOTALEMENT EXPORTATRICE
LE CAOUTCHOUC IND DU SUD,Sfax,Sfax sud,Industrie du caoutchouc et des plastiques,MOKHTAR DAMMAK,(216-)  74 681 201/ 74 681 202,contact@ciscaoutchouc.com,40,NON TOTALEMENT EXPORTATRICE
STE DE CONDITIONNEMENT DES HUILES D'OLIVES,Sfax,Sakiet eddaier,Industries agricoles et alimentaires,ABDELLAZIZ MAKHLOUFI,(216-)  74 447 677/ 74 831 522,cho@olivolio.com,69,NON TOTALEMENT EXPORTATRICE
GALPHARMA,Sfax,Sakiet eddaier,Industrie chimique,RIADH SALLEMI,(216-)  20 298 833/ 74 831 842,bassem.trabelsi@galpharma.tn,329,NON TOTALEMENT EXPORTATRICE
